0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99
100, 37, 35, 72, 44, 42, 9, 55, 57, 67, 68, 78, 5062, 15, 17, 21, 46, 37, 25, 40, 39, 93, 69, 90, 73, 3, 42, 58, 60, 81, 12, 54, 95, 46, 21, 33, 87, 6, 65, 15, 72, 27, 93, 27, 41, 86, 24, 63, 17, 25, 103, 32, 94, 43, 16, 62, 45, 34, 14, 82, 10, 26, 30, 104, 71, 27, 8, 30, 33, 49, 44, 81, 75, 8, 84, 92, 94, 3, 50, 87, 27, 24, 14, 16, 66, 6, 77, 88, 17, 90, 64, 26, 92, 93, 1, 58, 97, 90, 87, 24
34, 2, 81, 3, 92, 60, 95, 80, 62, 16, 38, 65, 39, 5274, 80, 81, 11, 28, 63, 27, 95, 21, 29, 81, 91, 29, 33, 82, 13, 96, 82, 46, 75, 57, 49, 61, 93, 15, 12, 26, 30, 49, 91, 45, 54, 42, 20, 64, 47, 60, 67, 36, 80, 95, 11, 42, 18, 21, 100, 7, 93, 53, 30, 62, 87, 55, 17, 74, 69, 28, 100, 75, 54, 62, 14, 84, 103, 10, 19, 44, 69, 85, 56, 21, 74, 67, 39, 68, 64, 34, 51, 51, 86, 80, 8, 67, 29, 1, 13, 74
29, 7, 43, 59, 68, 33, 37, 42, 43, 55, 63, 6, 34, 13, 5113, 84, 56, 42, 23, 14, 75, 50, 42, 32, 25, 49, 76, 30, 49, 88, 104, 54, 71, 41, 7, 10, 51, 43, 51, 93, 74, 90, 75, 84, 80, 55, 62, 30, 96, 61, 21, 42, 6, 62, 73, 7, 5, 20, 13, 30, 2, 11, 61, 49, 29, 67, 58, 79, 87, 86, 43, 32, 70, 94, 11, 44, 43, 72, 51, 33, 5, 71, 51, 92, 4, 101, 75, 90, 15, 87, 14, 99, 98, 74, 42, 103, 13, 100, 53, 76
80, 95, 2, 21, 60, 12, 65, 103, 61, 92, 7, 42, 34, 58, 28, 5500, 53, 102, 21, 44, 60, 11, 37, 29, 85, 79, 26, 74, 73, 78, 21, 47, 44, 22, 67, 81, 11, 3, 55, 48, 71, 61, 89, 104, 95, 11, 35, 19, 89, 55, 63, 20, 66, 99, 49, 22, 72, 74, 72, 16, 24, 92, 39, 44, 90, 83, 101, 100, 85, 50, 42, 28, 88, 2, 26, 77, 94, 38, 73, 77, 69, 30, 97, 6, 105, 17, 27, 49, 67, 75, 64, 90, 38, 103, 6, 23, 80, 1, 99, 36
28, 13, 40, 10, 14, 66, 63, 3, 80, 30, 56, 43, 36, 24, 49, 36, 5437, 52, 61, 2, 104, 101, 68, 36, 98, 50, 58, 49, 51, 52, 62, 78, 41, 78, 64, 54, 15, 21, 33, 94, 51, 89, 32, 86, 89, 57, 98, 24, 3, 53, 2, 1, 49, 69, 14, 18, 14, 71, 44, 41, 99, 82, 95, 34, 54, 53, 65, 69, 73, 97, 34, 100, 57, 65, 58, 41, 98, 50, 41, 78, 80, 42, 55, 105, 87, 68, 99, 77, 34, 37, 94, 4, 95, 83, 15, 21, 7, 56, 66, 57
24, 99, 51, 81, 36, 3, 98, 28, 30, 33, 105, 4, 51, 55, 3, 9, 17, 5166, 86, 27, 10, 74, 8, 81, 29, 22, 101, 35, 54, 61, 68, 77, 55, 14, 29, 67, 98, 21, 94, 22, 30, 94, 2, 57, 20, 4, 66, 36, 82, 46, 40, 68, 96, 47, 43, 19, 45, 16, 31, 98, 53, 98, 69, 2, 88, 98, 45, 58, 95, 34, 79, 20, 104, 81, 76, 18, 61, 13, 30, 14, 58, 69, 81, 26, 92, 101, 44, 31, 11, 51, 105, 63, 21, 69, 42, 85, 38, 86, 37, 4
96, 11, 105, 94, 68, 53, 6, 23, 65, 36, 14, 100, 81, 94, 20, 68, 66, 40, 5327, 53, 91, 98, 11, 88, 38, 29, 67, 52, 91, 81, 55, 82, 68, 32, 70, 30, 84, 53, 29, 43, 88, 19, 37, 63, 8, 56, 25, 50, 96, 100, 103, 58, 69, 90, 17, 1, 13, 60, 29, 80, 35, 60, 56, 102, 91, 103, 3, 69, 50, 9, 7, 32, 27, 20, 71, 11, 76, 73, 61, 43, 67, 35, 77, 30, 19, 93, 7, 31, 47, 12, 5, 59, 71, 38, 32, 57, 35, 12, 20, 84
102, 3, 92, 105, 23, 57, 11, 75, 1, 48, 12, 67, 59, 88, 73, 77, 52, 56, 84, 5286, 67, 65, 28, 33, 102, 60, 66, 8, 71, 85, 91, 67, 88, 54, 66, 87, 6, 53, 56, 88, 77, 67, 50, 30, 26, 99, 1, 77, 27, 61, 46, 93, 21, 74, 102, 17, 5, 62, 25, 75, 19, 92, 13, 83, 41, 78, 64, 23, 3, 14, 5, 56, 57, 31, 86, 82, 25, 63, 30, 28, 19, 75, 15, 39, 20, 94, 32, 24, 27, 56, 75, 45, 20, 87, 22, 60, 37, 85, 59, 16
75, 40, 71, 26, 71, 51, 2, 72, 91, 8, 99, 4, 60, 90, 19, 79, 55, 50, 80, 82, 5335, 26, 103, 102, 8, 20, 33, 21, 81, 91, 36, 28, 25, 83, 53, 72, 29, 32, 38, 96, 39, 8, 99, 98, 75, 12, 49, 24, 61, 105, 105, 38, 25, 103, 11, 32, 99, 43, 29, 51, 5, 41, 78, 7, 19, 3, 78, 24, 34, 93, 14, 49, 77, 7, 42, 46, 100, 67, 70, 32, 66, 46, 70, 90, 20, 57, 99, 13, 100, 22, 41, 104, 40, 13, 5, 58, 97, 60, 81, 25
24, 94, 74, 100, 77, 92, 41, 71, 30, 87, 102, 95, 27, 43, 56, 47, 100, 49, 36, 71, 48, 5520, 69, 64, 66, 51, 16, 57, 87, 73, 59, 5, 61, 4, 81, 9, 72, 16, 79, 101, 102, 52, 90, 1, 72, 17, 24, 66, 43, 59, 31, 67, 7, 76, 25, 72, 103, 40, 105, 61, 7, 35, 65, 44, 38, 41, 52, 4, 33, 2, 81, 7, 30, 42, 89, 101, 59, 7, 38, 101, 65, 45, 62, 71, 16, 86, 14, 95, 102, 96, 51, 85, 25, 92, 23, 40, 4, 51, 20, 37
52, 101, 20, 81, 14, 3, 54, 72, 9, 91, 44, 50, 31, 82, 98, 23, 39, 6, 94, 35, 78, 39, 5338, 80, 3, 13, 96, 6, 63, 10, 19, 91, 87, 38, 67, 101, 17, 97, 44, 25, 82, 88, 52, 89, 41, 44, 88, 80, 26, 77, 91, 104, 92, 82, 78, 94, 94, 68, 77, 29, 54, 95, 14, 36, 5, 57, 8, 103, 48, 28, 105, 2, 10, 51, 90, 28, 94, 73, 2, 14, 21, 69, 12, 7, 45, 66, 78, 11, 5, 49, 39, 59, 15, 29, 71, 101, 86, 55, 99, 5
82, 98, 6, 69, 43, 96, 96, 31, 40, 74, 21, 60, 37, 33, 43, 82, 75, 15, 69, 80, 40, 84, 10, 5434, 7, 80, 27, 69, 6, 20, 74, 87, 94, 79, 50, 31, 46, 17, 38, 62, 90, 59, 98, 22, 68, 36, 80, 14, 50, 20, 93, 90, 103, 79, 16, 86, 30, 42, 50, 35, 62, 100, 99, 27, 50, 43, 58, 73, 37, 72, 29, 21, 2, 22, 19, 46, 57, 75, 60, 83, 71, 24, 44, 68, 103, 59, 26, 4, 78, 75, 39, 11, 46, 32, 37, 95, 51, 94, 39, 87
38, 68, 85, 16, 66, 80, 62, 99, 27, 98, 76, 97, 16, 97, 60, 95, 50, 62, 99, 22, 31, 9, 32, 53, 5532, 69, 19, 67, 34, 58, 26, 48, 20, 5, 64, 62, 61, 102, 55, 87, 94, 2, 79, 86, 98, 10, 53, 20, 71, 23, 18, 78, 31, 27, 2, 47, 95, 20, 90, 105, 77, 10, 25, 73, 96, 88, 29, 52, 84, 60, 33, 49, 62, 88, 29, 31, 74, 81, 50, 16, 80, 68, 70, 5, 71, 71, 28, 37, 91, 13, 36, 62, 104, 37, 30, 95, 19, 35, 41, 79
95, 50, 104, 28, 10, 28, 58, 83, 85, 85, 99, 60, 24, 40, 41, 94, 6, 46, 25, 96, 35, 37, 29, 33, 74, 5327, 22, 69, 70, 39, 20, 59, 89, 18, 86, 98, 22, 15, 52, 84, 76, 22, 15, 99, 62, 32, 87, 67, 77, 88, 34, 88, 20, 62, 16, 70, 15, 14, 33, 84, 53, 29, 14, 13, 47, 76, 5, 45, 67, 33, 23, 38, 55, 37, 31, 93, 69, 95, 54, 17, 54, 87, 105, 73, 43, 97, 14, 34, 5, 24, 94, 57, 52, 84, 46, 75, 54, 50, 15, 98
60, 37, 30, 91, 51, 60, 78, 96, 26, 3, 7, 80, 89, 6, 24, 3, 79, 38, 14, 84, 61, 84, 12, 7, 40, 58, 5204, 70, 84, 73, 62, 38, 4, 91, 23, 31, 23, 77, 21, 48, 79, 28, 22, 39, 10, 23, 42, 89, 60, 32, 44, 15, 92, 55, 103, 26, 7, 56, 96, 68, 23, 52, 82, 4, 38, 105, 34, 37, 76, 55, 84, 27, 59, 83, 65, 45, 105, 83, 5, 59, 9, 48, 50, 101, 80, 24, 103, 63, 80, 93, 25, 102, 17, 2, 82, 54, 83, 11, 90, 30
42, 45, 56, 77, 22, 16, 98, 103, 98, 103, 33, 84, 22, 82, 56, 101, 83, 53, 59, 57, 41, 83, 30, 34, 61, 7, 64, 5560, 99, 25, 68, 12, 69, 100, 65, 68, 10, 57, 65, 85, 54, 75, 63, 76, 28, 13, 48, 5, 65, 1, 61, 82, 61, 91, 10, 16, 74, 73, 31, 44, 97, 75, 55, 38, 69, 96, 105, 79, 47, 41, 58, 78, 10, 15, 25, 38, 4, 72, 42, 68, 73, 80, 22, 5, 42, 31, 20, 10, 81, 27, 53, 49, 101, 84, 86, 65, 74, 85, 15, 97
103, 49, 69, 7, 63, 93, 21, 43, 37, 63, 5, 4, 37, 3, 90, 78, 11, 86, 64, 91, 8, 93, 34, 3, 48, 15, 44, 98, 5341, 58, 89, 73, 1, 53, 57, 40, 17, 77, 82, 53, 34, 64, 33, 47, 66, 17, 101, 53, 80, 36, 38, 87, 105, 49, 89, 47, 40, 5, 39, 10, 62, 105, 60, 63, 29, 11, 102, 45, 64, 56, 75, 75, 14, 84, 16, 56, 78, 94, 4, 52, 24, 18, 33, 1, 66, 98, 47, 82, 102, 63, 69, 59, 62, 23, 98, 90, 10, 71, 6, 73
103, 57, 42, 93, 36, 35, 44, 8, 23, 24, 59, 23, 18, 68, 105, 61, 60, 47, 37, 34, 86, 105, 69, 19, 104, 61, 3, 90, 3, 4794, 58, 1, 42, 76, 93, 77, 5, 8, 61, 4, 8, 14, 4, 26, 81, 3, 86, 12, 26, 17, 22, 6, 99, 90, 24, 74, 22, 3, 59, 2, 93, 11, 2, 6, 86, 71, 59, 68, 79, 14, 48, 86, 27, 51, 6, 84, 31, 68, 72, 56, 62, 94, 39, 55, 55, 39, 23, 54, 42, 81, 55, 6, 68, 56, 93, 26, 21, 46, 70, 76
59, 12, 57, 85, 40, 39, 40, 70, 2, 88, 102, 40, 53, 35, 94, 3, 74, 93, 56, 92, 46, 5, 97, 90, 37, 84, 10, 57, 24, 56, 5403, 59, 68, 61, 38, 84, 76, 54, 48, 54, 36, 21, 93, 89, 56, 58, 68, 1, 23, 100, 92, 68, 104, 60, 52, 35, 15, 39, 68, 38, 94, 72, 96, 33, 4, 5, 11, 57, 35, 35, 87, 47, 56, 75, 7, 88, 4, 74, 88, 26, 68, 51, 93, 43, 5, 17, 54, 19, 32, 99, 33, 102, 42, 105, 30, 23, 86, 17, 79, 97
29, 60, 38, 61, 6, 45, 20, 10, 95, 2, 35, 35, 29, 105, 77, 33, 16, 3, 28, 47, 101, 37, 20, 37, 36, 49, 36, 98, 43, 9, 89, 4791, 46, 103, 85, 28, 42, 104, 37, 9, 105, 49, 43, 28, 48, 96, 37, 40, 98, 41, 63, 70, 77, 82, 84, 89, 3, 14, 81, 45, 23, 41, 69, 45, 38, 48, 72, 57, 46, 86, 65, 22, 29, 2, 26, 76, 97, 39, 10, 67, 79, 72, 31, 50, 48, 9, 10, 27, 23, 67, 48, 22, 2, 11, 66, 16, 35, 9, 72, 80
94, 8, 78, 17, 9, 103, 69, 83, 36, 55, 44, 91, 103, 51, 12, 46, 60, 21, 49, 59, 64, 97, 80, 65, 2, 17, 58, 37, 25, 1, 93, 96, 5129, 66, 7, 17, 40, 53, 76, 76, 2, 14, 38, 105, 65, 50, 22, 101, 47, 70, 54, 6, 61, 5, 47, 40, 21, 104, 76, 22, 105, 40, 12, 8, 105, 101, 1, 40, 48, 77, 92, 49, 67, 24, 25, 3, 50, 46, 80, 97, 93, 28, 102, 48, 32, 43, 87, 29, 42, 34, 51, 18, 74, 62, 2, 50, 57, 2, 89, 81
55, 52, 2, 17, 53, 26, 101, 102, 49, 76, 93, 36, 80, 89, 83, 89, 4, 42, 12, 22, 52, 62, 39, 20, 101, 40, 47, 29, 18, 7, 5, 73, 59, 5470, 66, 6, 8, 38, 84, 56, 8, 49, 91, 65, 9, 46, 48, 12, 64, 59, 33, 10, 98, 48, 7, 93, 87, 53, 98, 82, 59, 102, 26, 94, 84, 68, 76, 69, 105, 55, 19, 90, 103, 87, 49, 88, 4, 96, 100, 44, 49, 27, 30, 18, 52, 36, 5, 10, 65, 103, 91, 101, 76, 11, 89, 32, 78, 37, 100, 55
91, 95, 39, 65, 53, 64, 47, 33, 54, 18, 76, 79, 22, 83, 97, 73, 95, 78, 82, 55, 52, 45, 27, 105, 55, 10, 31, 5, 46, 2, 36, 8, 73, 74, 5610, 103, 9, 73, 7, 62, 67, 60, 12, 88, 37, 85, 32, 26, 58, 9, 57, 86, 53, 83, 85, 84, 70, 92, 65, 92, 93, 100, 77, 38, 45, 20, 12, 53, 69, 18, 91, 8, 77, 103, 95, 8, 82, 22, 34, 11, 7, 67, 97, 36, 45, 76, 96, 9, 63, 56, 100, 27, 27, 71, 41, 72, 68, 52, 101, 8
70, 87, 15, 18, 61, 87, 26, 14, 85, 36, 25, 91, 102, 98, 103, 18, 68, 93, 26, 2, 20, 21, 6, 47, 68, 46, 13, 30, 75, 90, 15, 16, 71, 29, 33, 5417, 10, 35, 40, 94, 70, 41, 56, 44, 33, 53, 61, 77, 18, 87, 79, 37, 84, 61, 83, 23, 83, 72, 30, 52, 57, 44, 67, 104, 49, 77, 2, 59, 6, 18, 24, 53, 58, 57, 96, 67, 4, 51, 38, 103, 9, 93, 35, 69, 48, 94, 69, 26, 38, 98, 54, 94, 13, 98, 69, 61, 69, 70, 96, 74
87, 97, 21, 16, 48, 93, 82, 28, 16, 97, 26, 24, 84, 60, 70, 4, 25, 33, 6, 62, 2, 36, 27, 14, 28, 96, 74, 96, 37, 42, 42, 19, 33, 39, 11, 80, 5061, 70, 2, 19, 61, 27, 19, 16, 63, 65, 101, 88, 97, 1, 21, 98, 14, 48, 88, 41, 38, 57, 9, 74, 98, 27, 69, 25, 42, 80, 81, 45, 44, 82, 63, 81, 4, 59, 96, 43, 18, 69, 25, 92, 46, 46, 61, 59, 70, 44, 100, 2, 77, 85, 52, 46, 6, 98, 47, 47, 49, 22, 92, 69
103, 26, 44, 83, 84, 11, 21, 102, 79, 22, 88, 102, 44, 43, 55, 8, 63, 49, 9, 34, 28, 38, 79, 10, 7, 20, 57, 55, 41, 20, 18, 16, 45, 38, 98, 1, 25, 5060, 102, 81, 12, 61, 77, 55, 80, 26, 63, 38, 52, 48, 71, 56, 62, 22, 66, 68, 41, 99, 17, 59, 13, 11, 74, 57, 25, 43, 57, 27, 33, 30, 2, 44, 67, 55, 75, 42, 57, 32, 56, 3, 57, 103, 36, 13, 19, 101, 81, 37, 71, 74, 72, 83, 62, 40, 11, 63, 59, 45, 89, 91
74, 67, 6, 13, 98, 58, 31, 50, 89, 86, 29, 17, 60, 64, 30, 56, 36, 87, 69, 1, 32, 35, 60, 93, 51, 71, 28, 4, 10, 93, 72, 60, 55, 54, 49, 24, 6, 79, 5377, 72, 36, 102, 88, 73, 37, 94, 23, 73, 75, 91, 50, 2, 20, 5, 71, 70, 52, 98, 50, 61, 86, 16, 97, 12, 47, 41, 35, 52, 96, 3, 100, 4, 81, 83, 76, 12, 48, 98, 61, 18, 60, 6, 19, 79, 92, 89, 20, 38, 82, 69, 75, 39, 62, 43, 50, 3, 60, 84, 31, 51
63, 3, 31, 38, 62, 1, 27, 4, 98, 87, 21, 29, 69, 16, 2, 55, 105, 103, 69, 58, 43, 38, 73, 104, 58, 17, 83, 12, 77, 91, 39, 35, 93, 69, 49, 26, 46, 75, 29, 5013, 34, 50, 43, 102, 65, 21, 29, 41, 18, 97, 75, 61, 7, 42, 36, 41, 35, 96, 52, 7, 58, 68, 18, 22, 8, 66, 47, 54, 13, 75, 68, 46, 101, 6, 19, 38, 26, 47, 55, 21, 16, 25, 81, 104, 43, 93, 39, 78, 83, 90, 84, 12, 29, 101, 33, 37, 38, 79, 67, 27
26, 29, 49, 21, 11, 68, 35, 37, 91, 90, 34, 83, 91, 91, 81, 28, 78, 14, 105, 33, 81, 83, 44, 4, 55, 77, 17, 70, 50, 83, 96, 75, 7, 17, 73, 99, 84, 2, 7, 46, 5394, 40, 24, 53, 25, 81, 81, 103, 95, 80, 7, 70, 35, 50, 50, 66, 21, 67, 7, 48, 44, 103, 99, 27, 14, 66, 21, 74, 45, 27, 96, 7, 67, 96, 60, 91, 72, 12, 65, 38, 91, 71, 2, 102, 16, 51, 40, 13, 94, 46, 37, 33, 20, 31, 36, 33, 73, 56, 83, 94
60, 51, 78, 21, 41, 32, 88, 89, 20, 25, 21, 87, 95, 22, 84, 87, 50, 100, 77, 38, 40, 8, 47, 60, 15, 83, 69, 65, 10, 24, 30, 69, 74, 2, 66, 91, 10, 26, 75, 29, 50, 5545, 11, 39, 94, 71, 103, 15, 65, 74, 29, 104, 58, 76, 35, 50, 30, 104, 9, 39, 104, 38, 85, 72, 17, 45, 34, 26, 70, 3, 55, 14, 75, 65, 30, 63, 30, 27, 54, 71, 77, 82, 69, 29, 29, 81, 78, 58, 56, 63, 74, 54, 78, 53, 102, 94, 74, 30, 96, 39
33, 45, 29, 84, 86, 35, 18, 92, 38, 71, 57, 9, 47, 103, 15, 76, 78, 69, 5, 28, 4, 78, 81, 81, 25, 77, 46, 76, 83, 36, 9, 92, 58, 14, 70, 38, 26, 87, 25, 63, 29, 58, 5113, 53, 55, 40, 105, 27, 85, 4, 31, 88, 59, 6, 40, 60, 59, 85, 30, 14, 98, 15, 105, 50, 29, 70, 64, 54, 28, 65, 93, 34, 18, 36, 86, 49, 52, 85, 53, 32, 65, 83, 14, 18, 66, 31, 78, 101, 92, 2, 9, 84, 17, 9, 5, 22, 55, 69, 52, 59
28, 16, 92, 45, 29, 49, 94, 80, 5, 18, 6, 70, 100, 102, 64, 60, 27, 13, 33, 95, 15, 41, 74, 8, 26, 55, 6, 80, 18, 34, 11, 46, 49, 102, 67, 77, 23, 32, 52, 27, 49, 34, 73, 5173, 30, 32, 57, 33, 44, 89, 105, 35, 25, 50, 19, 27, 104, 24, 84, 17, 57, 94, 39, 83, 67, 82, 54, 89, 9, 82, 11, 34, 11, 83, 54, 17, 91, 6, 27, 30, 94, 26, 41, 95, 75, 60, 99, 73, 83, 77, 66, 12, 65, 104, 94, 26, 58, 19, 92, 66
